Country,Dystopia_Residual
Switzerland,2.5173799999999997
Iceland,2.70201
Denmark,2.4920400000000003
Norway,2.4653099999999997
Canada,2.4517599999999997
Finland,2.61955
Netherlands,2.4657
Sweden,2.3711900000000004
New Zealand,2.26425
Australia,2.26646
Israel,3.08854
Costa Rica,3.17728
Austria,2.5332
Mexico,3.6021400000000003
United States,2.51011
Brazil,3.26001
Luxembourg,1.9696099999999999
Ireland,1.9757
Belgium,2.4148400000000003
United Arab Emirates,2.24743
United Kingdom,1.9699400000000002
Oman,2.4748900000000003
Venezuela,3.1913099999999996
Singapore,1.8850099999999999
Panama,2.84848
Germany,2.1156900000000003
Chile,2.67585
Qatar,1.55674
France,2.21126
Argentina,2.8360000000000003
Czech Republic,2.67782
Uruguay,2.3214200000000003
Colombia,2.85737
Thailand,2.31945
Saudi Arabia,2.43872
Spain,2.12367
Malta,1.6488
Taiwan,2.32323
Kuwait,1.8763400000000001
Suriname,2.79094
Trinidad and Tobago,2.2688200000000003
El Salvador,3.035
Guatemala,2.74255
Uzbekistan,2.2374099999999997
Slovakia,2.2463900000000003
Japan,1.68435
South Korea,2.21978
Ecuador,2.5394200000000002
Bahrain,1.73797
Italy,2.0251799999999998
Bolivia,2.82334
Moldova,3.10712
Paraguay,2.18896
Kazakhstan,2.24729
Slovenia,1.6158299999999999
Lithuania,2.4464900000000003
Nicaragua,2.32407
Peru,2.5945
Belarus,2.1309
Poland,1.86565
Malaysia,1.8854099999999998
Croatia,2.75414
Libya,2.0906599999999997
Russia,2.27394
Jamaica,2.32038
North Cyprus,1.5988799999999999
Cyprus,1.8893099999999998
Algeria,2.43209
Kosovo,2.76579
Turkmenistan,1.8698400000000002
Mauritius,1.76145
Hong Kong,0.6542899999999999
Estonia,1.58782
Indonesia,1.86399
Vietnam,2.20173
Turkey,2.08528
Kyrgyzstan,2.2327
Nigeria,2.89319
Bhutan,1.63794
Azerbaijan,2.00073
Pakistan,3.1070900000000004
Jordan,1.8799599999999999
Montenegro,2.10017
China,1.8604
Zambia,2.6343
Romania,1.9312900000000002
Serbia,2.025
Portugal,1.26462
Latvia,1.62215
Philippines,1.7536
Somaliland region,2.11032
Morocco,2.4537299999999997
Macedonia,1.7393299999999998
Mozambique,3.05137
Albania,1.89894
Bosnia and Herzegovina,2.06367
Lesotho,2.79832
Dominican Republic,1.21305
Laos,1.7379900000000001
Mongolia,1.34759
Swaziland,2.48676
Greece,1.8010099999999998
Lebanon,1.57059
Hungary,1.24074
Honduras,1.84408
Tajikistan,2.1139900000000003
Tunisia,2.12466
Palestinian Territories,2.0438400000000003
Bangladesh,2.51767
Iran,1.6944
Ukraine,1.5714
Iraq,1.95335
South Africa,1.7195599999999998
Ghana,2.30919
Zimbabwe,2.44191
Liberia,2.7772900000000003
India,2.27513
Sudan,2.20857
Haiti,2.24173
Congo (Kinshasa),2.86712
Nepal,1.9563700000000002
Ethiopia,2.44876
Sierra Leone,2.51009
Mauritania,2.11773
Kenya,1.78555
Djibouti,2.05125
Armenia,1.75873
Botswana,1.46181
Myanmar,1.41805
Georgia,1.59541
Malawi,2.8079099999999997
Sri Lanka,0.67108
Cameroon,1.95071
Bulgaria,0.89991
Egypt,1.59927
Yemen,1.92313
Angola,1.9493900000000002
Mali,1.79293
Congo (Brazzaville),1.68135
Comoros,1.95812
Uganda,1.42766
Senegal,1.44395
Gabon,0.99895
Niger,1.87877
Cambodia,0.98195
Tanzania,1.38079
Madagascar,1.851
Central African Republic,2.7223
Chad,1.9429599999999998
Guinea,1.9917200000000002
Ivory Coast,1.41723
Burkina Faso,1.46494
Afghanistan,1.9521
Rwanda,0.67042
Benin,1.6332799999999998
Syria,0.32858000000000004
Burundi,1.83302
Togo,1.56726
