Country,Economy
Finland,1.34
Denmark,1.383
Norway,1.4880000000000002
Iceland,1.38
Netherlands,1.396
Switzerland,1.452
Sweden,1.3869999999999998
New Zealand,1.3030000000000002
Canada,1.365
Austria,1.376
Australia,1.3719999999999999
Costa Rica,1.034
Israel,1.276
Luxembourg,1.609
United Kingdom,1.3330000000000002
Ireland,1.499
Germany,1.3730000000000002
Belgium,1.3559999999999999
United States,1.433
Czech Republic,1.2690000000000001
United Arab Emirates,1.5030000000000001
Malta,1.3
Mexico,1.07
France,1.324
Taiwan,1.368
Chile,1.159
Guatemala,0.8
Saudi Arabia,1.403
Qatar,1.6840000000000002
Spain,1.286
Panama,1.149
Brazil,1.004
Uruguay,1.124
Singapore,1.5719999999999998
El Salvador,0.794
Italy,1.294
Bahrain,1.3619999999999999
Slovakia,1.246
Trinidad & Tobago,1.2309999999999999
Poland,1.206
Uzbekistan,0.745
Lithuania,1.238
Colombia,0.985
Slovenia,1.258
Nicaragua,0.6940000000000001
Kosovo,0.882
Argentina,1.092
Romania,1.162
Cyprus,1.263
Ecuador,0.912
Kuwait,1.5
Thailand,1.05
Latvia,1.187
South Korea,1.301
Estonia,1.237
Jamaica,0.831
Mauritius,1.12
Japan,1.327
Honduras,0.642
Kazakhstan,1.173
Bolivia,0.7759999999999999
Hungary,1.2009999999999998
Paraguay,0.855
Northern Cyprus,1.263
Peru,0.96
Portugal,1.2209999999999999
Pakistan,0.677
Russia,1.183
Philippines,0.807
Serbia,1.004
Moldova,0.685
Libya,1.044
Montenegro,1.051
Tajikistan,0.493
Croatia,1.155
Hong Kong,1.4380000000000002
Dominican Republic,1.015
Bosnia and Herzegovina,0.945
Turkey,1.183
Malaysia,1.2209999999999999
Belarus,1.067
Greece,1.181
Mongolia,0.948
North Macedonia,0.983
Nigeria,0.696
Kyrgyzstan,0.551
Turkmenistan,1.052
Algeria,1.002
Morocco,0.8009999999999999
Azerbaijan,1.043
Lebanon,0.987
Indonesia,0.9309999999999999
China,1.0290000000000001
Vietnam,0.741
Bhutan,0.813
Cameroon,0.5489999999999999
Bulgaria,1.092
Ghana,0.611
Ivory Coast,0.569
Nepal,0.446
Jordan,0.8370000000000001
Benin,0.39299999999999996
Congo (Brazzaville),0.6729999999999999
Gabon,1.057
Laos,0.764
South Africa,0.96
Albania,0.9470000000000001
Venezuela,0.96
Cambodia,0.574
Palestinian Territories,0.657
Senegal,0.45
Somalia,0.0
Namibia,0.879
Niger,0.138
Burkina Faso,0.331
Armenia,0.85
Iran,1.1
Guinea,0.38
Georgia,0.8859999999999999
Gambia,0.308
Kenya,0.512
Mauritania,0.57
Mozambique,0.204
Tunisia,0.9209999999999999
Bangladesh,0.562
Iraq,1.043
Congo (Kinshasa),0.094
Mali,0.385
Sierra Leone,0.268
Sri Lanka,0.9490000000000001
Myanmar,0.71
Chad,0.35
Ukraine,0.82
Ethiopia,0.336
Swaziland,0.8109999999999999
Uganda,0.332
Egypt,0.9129999999999999
Zambia,0.578
Togo,0.275
India,0.755
Liberia,0.073
Comoros,0.27399999999999997
Madagascar,0.27399999999999997
Lesotho,0.489
Burundi,0.046
Zimbabwe,0.366
Haiti,0.32299999999999995
Botswana,1.041
Syria,0.619
Malawi,0.191
Yemen,0.287
Rwanda,0.359
Tanzania,0.47600000000000003
Afghanistan,0.35
Central African Republic,0.026000000000000002
South Sudan,0.306
